states,counts_p3_1of20,counts_p3_2of20,counts_p3_3of20,counts_p3_4of20,counts_p3_5of20,counts_p3_6of20,counts_p3_7of20,counts_p3_8of20,counts_p3_9of20,counts_p3_10of20,counts_p3_11of20,counts_p3_12of20,counts_p3_13of20,counts_p3_14of20,counts_p3_15of20,counts_p3_16of20,counts_p3_17of20,counts_p3_18of20,counts_p3_19of20,counts_p3_20of20
101100,762,584,782.0,640.0,691,920.0,759.0,777,732,779,664.0,713,693,380.0,699.0,608,657,209,202,800
000010,166,243,77.0,107.0,12,58.0,176.0,79,150,30,131.0,147,109,1.0,110.0,42,154,5,278,28
100000,28,44,58.0,54.0,98,11.0,38.0,93,33,92,24.0,11,22,44.0,23.0,36,30,40,15,89
001000,20,11,12.0,1.0,27,11.0,19.0,2,22,12,50.0,26,56,,59.0,6,42,37,21,13
000100,19,13,12.0,,25,8.0,20.0,1,16,18,43.0,35,50,2.0,58.0,9,58,42,28,22
000001,10,47,,34.0,57,4.0,6.0,5,2,5,,12,11,18.0,,19,2,410,125,10
101000,6,9,23.0,23.0,27,,3.0,11,18,17,55.0,24,7,138.0,8.0,38,27,112,1,9
000000,5,4,8.0,24.0,12,1.0,1.0,11,8,1,1.0,18,9,3.0,4.0,15,7,1,9,1
010000,5,4,18.0,11.0,13,4.0,1.0,16,15,36,,1,3,143.0,6.0,168,1,59,295,21
100100,2,10,25.0,40.0,30,,1.0,15,27,18,55.0,28,4,123.0,3.0,39,22,104,1,12
001100,1,55,9.0,90.0,32,7.0,,14,1,16,1.0,9,60,172.0,54.0,44,24,5,49,19
