states,counts_p4_1of50,counts_p4_2of50,counts_p4_3of50,counts_p4_4of50,counts_p4_5of50,counts_p4_6of50,counts_p4_7of50,counts_p4_8of50,counts_p4_9of50,counts_p4_10of50,counts_p4_11of50,counts_p4_12of50,counts_p4_13of50,counts_p4_14of50,counts_p4_15of50,counts_p4_16of50,counts_p4_17of50,counts_p4_18of50,counts_p4_19of50,counts_p4_20of50,counts_p4_21of50,counts_p4_22of50,counts_p4_23of50,counts_p4_24of50,counts_p4_25of50,counts_p4_26of50,counts_p4_27of50,counts_p4_28of50,counts_p4_29of50,counts_p4_30of50,counts_p4_31of50,counts_p4_32of50,counts_p4_33of50,counts_p4_34of50,counts_p4_35of50,counts_p4_36of50,counts_p4_37of50,counts_p4_38of50,counts_p4_39of50,counts_p4_40of50,counts_p4_41of50,counts_p4_42of50,counts_p4_43of50,counts_p4_44of50,counts_p4_45of50,counts_p4_46of50,counts_p4_47of50,counts_p4_48of50,counts_p4_49of50,counts_p4_50of50
000000,,4,3.0,,4,,,,,17.0,,11,,,4,,7,,,,,,,,,,,,,,,5,,,,,16.0,,,,,,,,,,14,,,
000001,,2,5.0,,3,,,,,18.0,,1,,,23,,21,,,,,,,,,,,,,,,4,,,,,3.0,,,,,,,,,,115,,,
000010,,1,5.0,,12,,,,,13.0,,5,,,35,,69,,,,,,,,,,,,,,,2,,,,,9.0,,,,,,,,,,69,,,
000100,,39,6.0,,5,,,,,5.0,,35,,,6,,25,,,,,,,,,,,,,,,12,,,,,12.0,,,,,,,,,,15,,,
001000,,21,1.0,,31,,,,,76.0,,41,,,25,,156,,,,,,,,,,,,,,,5,,,,,2.0,,,,,,,,,,72,,,
010000,,4,,,8,,,,,,,13,,,4,,16,,,,,,,,,,,,,,,14,,,,,36.0,,,,,,,,,,1,,,
010010,,98,3.0,,6,,,,,12.0,,38,,,6,,69,,,,,,,,,,,,,,,9,,,,,11.0,,,,,,,,,,58,,,
010100,,2,3.0,,12,,,,,51.0,,18,,,5,,29,,,,,,,,,,,,,,,8,,,,,2.0,,,,,,,,,,4,,,
100000,,60,78.0,,54,,,,,5.0,,158,,,22,,60,,,,,,,,,,,,,,,110,,,,,66.0,,,,,,,,,,29,,,
100100,,33,12.0,,384,,,,,233.0,,57,,,44,,20,,,,1024.0,,,,,,,,,,,64,,,,,,1024.0,,,,,,,,,337,,,
110000,,453,647.0,,120,,,,,28.0,,105,,,132,,98,,,,,,,,,,,,,,,400,,,,,554.0,,,,,,,,,,48,,,
110100,1024.0,307,261.0,1024.0,385,1024.0,1024.0,1024.0,1024.0,566.0,1024.0,542,1024.0,1024.0,718,1024.0,454,1024.0,1024.0,1024.0,,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,391,1024.0,1024.0,1024.0,1024.0,313.0,,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,262,1024.0,1024.0,1024.0
