states,counts_p4_1of100,counts_p4_2of100,counts_p4_3of100,counts_p4_4of100,counts_p4_5of100,counts_p4_6of100,counts_p4_7of100,counts_p4_8of100,counts_p4_9of100,counts_p4_10of100,counts_p4_11of100,counts_p4_12of100,counts_p4_13of100,counts_p4_14of100,counts_p4_15of100,counts_p4_16of100,counts_p4_17of100,counts_p4_18of100,counts_p4_19of100,counts_p4_20of100,counts_p4_21of100,counts_p4_22of100,counts_p4_23of100,counts_p4_24of100,counts_p4_25of100,counts_p4_26of100,counts_p4_27of100,counts_p4_28of100,counts_p4_29of100,counts_p4_30of100,counts_p4_31of100,counts_p4_32of100,counts_p4_33of100,counts_p4_34of100,counts_p4_35of100,counts_p4_36of100,counts_p4_37of100,counts_p4_38of100,counts_p4_39of100,counts_p4_40of100,counts_p4_41of100,counts_p4_42of100,counts_p4_43of100,counts_p4_44of100,counts_p4_45of100,counts_p4_46of100,counts_p4_47of100,counts_p4_48of100,counts_p4_49of100,counts_p4_50of100,counts_p4_51of100,counts_p4_52of100,counts_p4_53of100,counts_p4_54of100,counts_p4_55of100,counts_p4_56of100,counts_p4_57of100,counts_p4_58of100,counts_p4_59of100,counts_p4_60of100,counts_p4_61of100,counts_p4_62of100,counts_p4_63of100,counts_p4_64of100,counts_p4_65of100,counts_p4_66of100,counts_p4_67of100,counts_p4_68of100,counts_p4_69of100,counts_p4_70of100,counts_p4_71of100,counts_p4_72of100,counts_p4_73of100,counts_p4_74of100,counts_p4_75of100,counts_p4_76of100,counts_p4_77of100,counts_p4_78of100,counts_p4_79of100,counts_p4_80of100,counts_p4_81of100,counts_p4_82of100,counts_p4_83of100,counts_p4_84of100,counts_p4_85of100,counts_p4_86of100,counts_p4_87of100,counts_p4_88of100,counts_p4_89of100,counts_p4_90of100,counts_p4_91of100,counts_p4_92of100,counts_p4_93of100,counts_p4_94of100,counts_p4_95of100,counts_p4_96of100,counts_p4_97of100,counts_p4_98of100,counts_p4_99of100,counts_p4_100of100
000000,,,,4.0,18,,1,,,,,,4,,,,2,,,,,1.0,,2,,4.0,,,,,12,,,,,12,,4.0,,,,,,,,,,,2.0,,17,,,,3,1.0,,,,,,10,,3.0,,1.0,,,,,5,,,3.0,,,,,4.0,,,,2.0,4.0,,,,2.0,,,,2,,2.0,,2.0,1.0,,,
000001,,,,10.0,14,,5,13.0,,,,,8,4.0,,3.0,12,11.0,,,,,,3,,8.0,,,,5.0,7,,,,,10,,2.0,,15.0,,,,,,,9.0,,7.0,,3,,,,5,1.0,,7.0,21.0,,1.0,13,27.0,,18.0,4.0,,2.0,,,47,20.0,9.0,10.0,,7.0,6.0,,14.0,,,,3.0,,,,6.0,,39.0,16.0,,6,,3.0,,,23.0,,,
000010,,,,,43,,1,4.0,,,,,4,4.0,,3.0,7,3.0,,,,,,2,,,,,,4.0,11,,,,,5,,3.0,,,,,,,,,,,,,4,,,,8,,,,1.0,,,3,9.0,7.0,,,,22.0,,,20,,10.0,,,10.0,4.0,,16.0,5.0,,,,,,,1.0,7.0,24.0,4.0,,6,,,,,,,,
000011,,,,28.0,26,,15,16.0,,,,,32,25.0,,13.0,85,4.0,,,,,,22,,31.0,,,,30.0,21,,,,,32,,78.0,,1.0,,,,,,,,,34.0,,46,,,,64,44.0,,,,,3.0,18,27.0,6.0,9.0,41.0,,102.0,,,28,4.0,38.0,18.0,,21.0,7.0,,33.0,8.0,,,120.0,,,,28.0,4.0,27.0,9.0,,19,,43.0,,,3.0,,,
000100,,,,105.0,68,,32,107.0,,,,,38,35.0,,42.0,138,50.0,,,,,,28,,31.0,,,,21.0,33,,,,,95,,66.0,,80.0,,,,,,,55.0,,95.0,,1,,,2.0,84,78.0,,33.0,54.0,,59.0,75,39.0,75.0,,106.0,,9.0,,,150,75.0,38.0,12.0,,120.0,50.0,,7.0,5.0,,,12.0,3.0,,,71.0,63.0,88.0,61.0,,71,,56.0,,1.0,73.0,,,
001000,,,,,22,,2,,,,,,4,4.0,,,22,1.0,,,,1.0,,5,,14.0,,,,11.0,21,,,,,4,,1.0,,10.0,,,,,,,10.0,,,,15,,,,12,6.0,,2.0,8.0,,15.0,3,10.0,1.0,14.0,,,7.0,,,45,9.0,12.0,,,,22.0,,1.0,6.0,,,34.0,1.0,,,22.0,1.0,,,,14,,11.0,,,15.0,,,
001001,,,,12.0,297,,35,7.0,,,,,187,736.0,,33.0,300,35.0,,,,6.0,,148,,51.0,,,,153.0,594,,,,,234,,220.0,,,,,,,,,,,19.0,,532,,,5.0,36,183.0,,15.0,,,1.0,253,446.0,53.0,694.0,13.0,,95.0,,,140,3.0,157.0,89.0,,301.0,,,7.0,9.0,,,113.0,8.0,,,286.0,44.0,52.0,156.0,,130,,413.0,,10.0,3.0,,,
010000,,,,6.0,4,,1,,,,,,2,,,3.0,3,,,,,1.0,,1,,1.0,,,,,17,,,,,4,,,,3.0,,,,,,,2.0,,5.0,,7,,,1.0,5,5.0,,12.0,3.0,,1.0,10,,,1.0,5.0,,,,,14,1.0,1.0,7.0,,5.0,8.0,,14.0,1.0,,,12.0,2.0,,,4.0,3.0,1.0,1.0,,5,,14.0,,,,,,
010001,,,,10.0,25,,16,9.0,,,,,21,199.0,,22.0,58,34.0,,,,13.0,,29,,52.0,,,,56.0,60,,,,,103,,42.0,,18.0,,,,,,,23.0,,11.0,,43,,,11.0,29,44.0,,6.0,25.0,,22.0,104,177.0,13.0,126.0,10.0,,19.0,,,11,11.0,38.0,12.0,,45.0,9.0,,,1.0,,,98.0,8.0,,,51.0,10.0,12.0,5.0,,38,,70.0,,11.0,4.0,,,
010010,,,,21.0,27,,21,13.0,,,,,19,,,17.0,3,5.0,,,,8.0,,3,,16.0,,,,1.0,19,,,,,9,,2.0,,6.0,,,,,,,5.0,,21.0,,13,,,8.0,9,5.0,,5.0,6.0,,8.0,7,4.0,2.0,8.0,29.0,,,,,9,12.0,9.0,4.0,,3.0,7.0,,1.0,20.0,,,3.0,2.0,,,63.0,,4.0,1.0,,1,,8.0,,3.0,10.0,,,
010011,1024.0,1024.0,1024.0,774.0,373,1024.0,875,812.0,1024.0,1024.0,1024.0,1024.0,267,14.0,1024.0,870.0,207,159.0,1024.0,1024.0,1024.0,71.0,1024.0,652,1024.0,407.0,1024.0,1024.0,1024.0,171.0,211,1024.0,1024.0,1024.0,1024.0,434,1024.0,597.0,1024.0,342.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,357.0,1024.0,772.0,1024.0,263,1024.0,1024.0,80.0,313,508.0,1024.0,824.0,310.0,1024.0,343.0,456,198.0,848.0,128.0,774.0,1024.0,728.0,1024.0,1024.0,468,412.0,447.0,666.0,1024.0,173.0,440.0,1024.0,555.0,358.0,1024.0,1024.0,493.0,89.0,1024.0,1024.0,337.0,858.0,594.0,170.0,1024.0,95,1024.0,322.0,1024.0,77.0,395.0,1024.0,1024.0,1024.0
100000,,,,54.0,107,,20,43.0,,,,,438,3.0,,18.0,187,722.0,,,,923.0,,129,,409.0,,,,572.0,18,,,,,82,,9.0,,549.0,,,,,,,563.0,,58.0,,80,,,917.0,456,149.0,,120.0,596.0,,571.0,72,87.0,16.0,26.0,41.0,,40.0,,,87,477.0,265.0,203.0,,339.0,471.0,,372.0,611.0,,,134.0,907.0,,,155.0,32.0,183.0,601.0,,637,,82.0,,920.0,497.0,,,
